clae,prestadores,edicion,establecimientos,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
900091,13,previaje 2,15,"Servicios de espectáculos artísticos n.c.p. (Incluye espectáculos circenses, de títeres, mimos, etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910200,8,previaje 2,10,Servicios de museos y preservación de lugares y edificios históricos,910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910300,6,previaje 2,6,"Servicios de jardines botánicos, zoológicos y de parques nacionales",910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939010,13,previaje 2,19,Servicios de parques de diversiones y parques temáticos,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939090,102,previaje 2,108,Servicios de entretenimiento n.c.p.,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
942000,5,previaje 2,14,Servicios de sindicatos,942,Servicios de sindicatos,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949910,5,previaje 2,5,"Servicios de mutuales, excepto mutuales de salud y financieras",949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949990,12,previaje 2,13,Servicios de asociaciones n.c.p.,949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
491120,1,previaje 3,1,Servicio de transporte ferroviario interurbano de pasajeros,491,Servicio de transporte ferroviario,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492110,18,previaje 3,23,Servicio de transporte automotor urbano y suburbano regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
