fecha,operaciones,monto
2022-11-07,34978,212038373.92
2022-11-08,34018,207058605.62
2022-11-09,31983,189416321.66
2022-11-10,32006,187443767.28
2022-11-11,35748,205289780.21
2022-11-12,39188,220817128.66
2022-11-13,36139,200195900.59
2022-11-14,32335,196492348.75
2022-11-15,31435,195217866.68
2022-11-16,30423,180914611.43
2022-11-17,31101,178428247.8
2022-11-18,36680,214525434.37
2022-11-19,44228,250452988.98
2022-11-20,41346,227750599.05
2022-11-21,38631,215096478.21
2022-11-22,30300,182279004.41
2022-11-23,29050,172314502.35
2022-11-24,30361,175891432.78
2022-11-25,35030,208295506.28
2022-11-26,36158,193067858.36
2022-11-27,32782,176463784.19
2022-11-28,29278,173802043.29
2022-11-29,27130,158344972.58
2022-11-30,24297,134943982.25
2022-12-01,24714,144545819.89
2022-12-02,25524,148721507.69
2022-12-03,26851,139946804.04
2022-12-04,22623,117805997.28
2022-12-05,17258,102658493.17
2022-12-06,14616,86832150.86
2022-12-07,15394,89788976.02
2022-12-08,18545,99427995.02
2022-12-09,16661,81001387.24
2022-12-10,18913,93828355.23
2022-12-11,17751,87206295.6799999
2022-12-12,14089,82932456.94
2022-12-13,13275,71255258.2300001
2022-12-14,13423,76043667.46
2022-12-15,14876,86596430.28
2022-12-16,15853,89301784.1
2022-12-17,18089,97742674.3199999
2022-12-18,8775,40936485.64
2022-12-19,11063,65298343.91
2022-12-20,12815,72743244.76
2022-12-21,14148,83824980.16
2022-12-22,14833,88704380.3099999
2022-12-23,16732,99151594.08
2022-12-24,12051,62768490.26
2022-12-25,3381,17887476.87
2022-12-26,11821,75383387.56
2022-12-27,16464,100348670.89
2022-12-28,19987,120508578.28
2022-12-29,22973,136611798.61
2022-12-30,28764,166444291.14
2022-12-31,15447,79765152.6699999
